,Vt,Vm,V0,Vform,SVA,ArtOrDet,Nn,Npos,Pform,Pref,Prep,Wci,Wa,Wform,Wtone,Srun,Smod,Spar,Sfrag,Ssub,WOinc,WOadv,Trans,Mec,Rloc-,Cit,Others,Um
iter150,20,23,9,27,22,3,15,1,0,10,12,2,25,21,7,8,26,19,13,16,6,11,17,18,14,4,5,24
iter151,23,12,9,27,26,8,19,2,1,11,16,7,0,22,14,18,17,10,24,6,15,4,13,21,20,3,5,25
iter152,19,8,5,26,24,7,18,3,22,9,14,10,2,21,6,12,27,15,25,1,17,11,16,20,13,0,4,23
iter153,21,16,15,26,24,7,17,1,3,2,12,8,4,23,18,14,27,19,10,5,13,11,9,22,20,0,6,25
iter154,23,18,11,26,25,2,9,10,1,7,8,6,14,12,4,17,27,16,24,19,15,5,13,21,20,0,3,22
iter155,21,24,13,26,23,5,15,4,2,1,12,8,10,19,14,7,27,3,18,11,20,9,22,16,17,0,6,25
iter156,24,11,22,26,25,5,14,13,0,9,8,4,6,20,7,12,27,15,19,2,21,10,18,17,16,1,3,23
iter157,22,21,12,27,25,7,16,2,5,8,9,4,0,23,19,11,26,14,3,13,17,10,15,20,18,1,6,24
iter158,20,9,21,26,24,8,17,0,1,3,12,10,23,19,7,16,27,11,22,2,13,5,14,15,18,4,6,25
iter159,19,12,20,26,25,3,14,0,9,4,10,7,18,21,8,11,27,23,5,17,22,2,15,16,13,1,6,24
iter160,18,21,3,26,23,5,14,2,0,4,15,12,24,20,6,13,27,7,11,8,22,9,17,19,16,1,10,25
iter161,21,22,20,26,25,7,14,6,11,12,17,10,3,19,4,8,27,15,18,2,9,1,13,23,16,0,5,24
iter162,22,20,10,25,23,6,14,1,3,7,12,9,5,17,8,11,27,16,26,24,18,2,21,15,13,0,4,19
iter163,22,24,8,26,25,4,9,1,3,7,6,10,16,18,14,12,27,19,21,11,20,2,15,17,13,0,5,23
iter164,21,23,11,27,22,5,13,2,10,19,12,9,0,18,6,16,17,7,25,3,24,8,15,20,14,1,4,26
iter165,22,17,21,25,26,4,14,11,2,9,7,10,1,20,3,18,27,16,13,5,8,12,19,23,15,0,6,24
iter166,21,24,12,26,23,5,18,6,2,3,11,8,1,22,14,16,27,4,10,9,17,19,13,20,15,0,7,25
iter167,22,26,16,25,23,7,17,3,10,15,9,8,1,11,6,13,27,19,20,2,12,4,18,21,14,0,5,24
iter168,20,23,2,26,25,5,15,0,3,9,11,4,10,22,14,18,27,7,21,12,19,8,13,17,16,1,6,24
iter169,23,15,19,26,24,9,17,8,4,6,12,10,0,22,7,16,27,20,5,2,14,11,13,21,18,1,3,25
iter170,16,26,11,25,23,4,13,1,3,10,9,8,0,22,17,12,27,6,21,14,19,18,5,20,15,2,7,24
iter171,21,23,13,26,25,6,18,1,3,9,11,10,0,20,14,17,27,7,24,5,16,8,15,19,12,2,4,22
iter172,20,26,22,25,24,6,11,1,15,3,12,9,0,18,10,14,27,5,19,13,21,4,7,17,16,2,8,23
iter173,23,20,1,26,24,3,19,5,7,2,10,8,6,22,18,12,27,14,17,4,15,9,13,21,16,0,11,25
iter174,23,19,12,27,24,5,16,2,9,7,14,10,13,22,20,11,26,15,3,1,17,6,4,21,18,0,8,25
iter175,22,20,13,26,24,7,16,8,1,2,12,6,23,19,3,9,27,11,10,4,17,15,14,21,18,0,5,25
iter176,17,19,16,26,24,5,13,8,2,18,15,11,3,23,9,6,27,12,0,4,22,21,7,20,14,1,10,25
iter177,20,24,22,25,23,5,9,14,1,2,11,8,15,18,12,7,27,17,3,10,21,6,16,19,13,0,4,26
iter178,20,22,21,24,26,9,13,3,17,4,12,6,1,23,14,16,27,11,10,2,15,7,5,19,18,0,8,25
iter179,19,23,15,25,24,8,13,5,1,7,11,6,4,21,12,20,27,10,22,2,14,0,16,17,18,3,9,26
iter180,15,21,13,26,23,4,16,14,6,3,10,7,9,18,17,5,27,12,24,8,22,1,11,20,19,0,2,25
