,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter44,46,33,36,32,34,9,52,16,2,37,22,29,25,40,35,14,39,10,51,27,0,21,42,1,8,11,17,3,49,7,24,44,12,23,6,31,30,53,45,20,28,43,48,38,19,4,13,47,26,5,41,18,50,15
iter45,51,34,13,27,17,4,46,23,1,30,20,29,22,25,14,15,12,9,42,32,0,38,49,5,11,18,40,7,52,2,37,41,19,31,10,47,48,50,39,24,8,35,45,21,36,6,53,43,26,3,33,16,44,28
iter46,46,25,36,33,16,7,50,39,21,30,20,17,26,27,22,10,34,5,47,24,3,12,49,9,8,19,13,1,51,0,18,44,14,11,4,43,41,48,42,23,32,38,53,37,35,6,52,40,28,2,29,15,45,31
iter47,44,36,19,40,10,2,52,14,9,32,30,29,31,47,42,21,13,6,48,34,0,4,18,3,15,28,8,11,51,1,23,43,20,24,16,37,46,38,39,22,25,41,35,26,33,7,53,50,27,5,45,17,49,12
iter48,45,27,31,33,26,6,50,7,20,28,25,32,29,39,47,18,4,13,41,23,0,12,49,2,16,11,9,15,52,10,8,42,19,36,3,46,35,48,40,24,14,38,51,21,34,1,53,43,30,5,37,17,44,22
iter49,48,26,33,38,27,4,49,20,39,41,28,40,32,18,12,19,7,14,51,31,2,34,52,10,13,15,8,0,50,11,17,43,22,29,3,16,37,47,36,24,9,30,53,21,45,5,1,44,25,6,35,23,46,42
iter50,44,31,15,27,22,4,52,29,49,18,33,36,26,23,21,25,3,7,42,24,0,11,48,17,14,13,6,12,51,50,20,43,16,34,9,37,41,40,45,19,38,32,8,35,28,5,53,46,30,1,39,10,47,2
iter51,43,31,37,36,25,2,41,39,27,33,24,34,29,14,42,20,26,6,49,32,0,9,52,7,13,17,11,3,47,1,15,46,8,38,4,40,18,51,45,19,12,35,22,23,21,10,53,48,28,5,30,16,50,44
iter52,45,29,21,43,13,5,48,30,46,25,22,35,31,26,18,19,27,16,49,36,0,2,12,3,8,17,15,7,50,10,28,38,14,44,6,41,23,51,20,24,9,39,52,33,40,4,53,37,34,1,42,32,47,11
iter53,47,33,45,42,23,8,49,21,7,14,22,28,25,18,31,15,40,11,50,24,0,27,48,3,10,13,9,2,51,5,35,44,17,36,4,38,12,41,26,34,30,29,52,19,39,6,53,46,32,1,37,16,43,20
iter54,45,24,43,33,18,6,40,11,7,35,25,27,30,38,29,19,1,12,51,21,0,47,32,4,13,15,50,8,52,28,9,41,16,17,2,37,36,46,44,22,10,42,53,23,39,5,14,48,26,3,34,20,49,31
iter55,47,17,45,40,26,8,44,38,50,24,22,28,21,19,23,14,5,10,51,32,1,34,35,9,12,11,46,2,52,25,7,42,18,29,3,43,33,48,37,27,13,30,53,15,39,4,0,41,31,6,36,20,49,16
iter56,40,27,34,41,20,6,48,14,39,37,19,25,17,29,13,15,7,10,42,24,1,52,49,0,11,22,33,3,47,23,2,45,18,28,5,38,31,50,43,16,9,32,51,26,36,8,53,35,21,4,30,12,44,46
iter57,47,39,46,31,19,3,51,44,21,22,25,38,23,18,32,11,42,10,52,28,0,15,27,6,9,12,29,2,41,7,14,43,17,33,8,35,37,48,34,20,24,40,53,13,30,5,1,50,26,4,36,16,49,45
iter58,45,36,35,38,29,3,49,41,24,32,25,37,19,11,16,20,13,7,51,34,0,10,44,1,18,17,4,8,50,2,40,43,22,15,6,30,39,47,48,23,21,31,52,12,26,9,53,46,28,5,33,14,42,27
iter59,48,22,17,29,12,3,51,38,13,16,27,30,15,31,36,19,32,8,50,25,0,37,45,24,10,20,6,4,41,1,21,47,18,26,7,40,42,49,39,23,9,34,52,43,35,5,53,46,28,2,33,14,44,11
iter60,47,30,34,45,10,4,43,40,35,26,24,32,33,36,18,23,15,9,52,27,1,42,29,8,12,21,11,3,53,5,16,46,31,19,7,38,51,49,39,20,22,44,0,37,25,6,14,48,28,2,41,13,50,17
iter61,47,24,38,37,30,4,44,9,26,31,22,21,25,34,42,17,39,3,51,23,0,10,49,8,11,19,13,6,52,1,18,46,14,28,2,20,15,50,45,29,27,32,48,16,36,7,53,43,33,5,35,12,41,40
iter62,49,25,23,38,24,2,46,13,7,31,16,29,20,32,42,17,9,6,48,22,0,39,44,5,11,21,15,26,52,3,37,47,14,34,10,12,41,51,36,27,30,35,53,18,33,8,1,45,28,4,40,19,50,43
iter63,46,23,37,29,24,9,50,25,8,14,27,31,30,35,26,17,1,5,43,28,0,39,49,4,11,18,13,2,51,10,36,42,20,15,7,22,38,48,45,21,12,41,52,32,40,6,53,47,33,3,34,19,44,16
iter64,45,28,19,38,37,4,40,20,12,26,23,27,34,44,36,21,2,9,50,24,0,31,41,3,11,8,22,10,51,43,18,49,14,35,6,29,48,52,42,17,15,30,1,13,33,5,53,47,25,7,39,16,46,32
iter65,50,31,46,40,28,5,34,22,20,38,21,32,24,29,26,36,27,15,48,23,3,12,53,6,13,19,10,4,52,1,9,44,11,47,8,33,42,51,45,25,14,37,0,35,16,7,17,39,30,2,43,18,49,41
iter66,46,27,32,39,18,5,38,29,48,37,19,31,16,30,21,13,1,9,41,26,0,47,51,15,11,22,7,4,20,2,24,42,14,40,8,43,45,49,17,28,23,33,53,35,12,6,52,44,25,3,36,10,50,34
iter67,48,24,30,44,22,8,50,11,28,27,25,36,31,38,18,15,2,9,51,33,3,37,34,12,14,20,19,1,52,7,17,43,21,40,6,26,47,49,39,29,16,35,53,13,32,5,0,46,23,4,42,10,45,41
